observation_id,food_name,ground_truth,predicted,h_mean,s_mean,v_mean,h_std,s_std,v_std,dark_ratio,texture_score,freshness_score,ambient_temp_c,humidity_pct,scan_date,location
472,bell_pepper,fresh,fresh,39.98,148.76,199.03,7.27,14.89,17.23,0.0,0.643,96.9,7.6,64.9,2025-11-14,Bangalore
473,corn,moderate,fresh,40.63,83.15,123.92,9.4,30.71,29.88,0.0133,0.154,84.4,7.9,73.1,2025-10-14,Chennai
474,yogurt,spoiled,moderate,42.19,32.61,75.91,6.97,19.43,16.5,0.122,0.354,60.5,4.0,62.3,2025-02-19,Chennai
475,egg,moderate,fresh,27.17,62.57,115.28,8.33,23.18,23.38,0.0119,0.862,78.2,2.5,92.3,2025-10-21,Mumbai
476,walnut,fresh,fresh,25.61,166.67,157.9,8.44,23.65,18.46,0.0127,0.519,90.1,7.3,94.8,2025-03-21,Delhi
477,watermelon,fresh,fresh,24.26,145.39,203.59,8.39,18.41,21.45,0.0,0.803,90.7,6.4,93.2,2025-01-13,Hyderabad
478,spinach,fresh,fresh,21.18,163.63,188.17,7.38,17.48,17.34,0.0,0.303,94.6,4.6,69.1,2025-04-19,Pune
479,olive_oil,fresh,fresh,34.28,174.58,167.25,8.92,13.74,18.25,0.0066,0.793,87.7,5.4,72.4,2025-12-28,Hyderabad
480,blueberry,fresh,fresh,29.75,131.81,161.27,6.66,20.88,19.44,0.0,0.191,79.8,5.2,93.1,2025-01-25,Mumbai
481,cream,fresh,fresh,12.09,107.59,167.86,8.92,11.76,18.5,0.0148,0.936,77.6,5.9,67.1,2025-03-14,Delhi
482,avocado,spoiled,moderate,14.74,55.83,62.3,10.77,15.42,13.61,0.1827,0.224,53.6,7.4,75.4,2025-07-01,Bangalore
483,almond,spoiled,moderate,27.68,38.23,80.17,17.85,8.75,25.17,0.0811,0.495,60.9,3.2,87.0,2025-10-27,Chennai
484,orange,spoiled,moderate,17.13,39.31,69.09,9.15,13.29,20.99,0.1577,0.565,60.5,3.0,67.3,2025-08-24,Hyderabad
485,onion,moderate,fresh,9.83,108.76,119.6,7.74,23.65,28.77,0.0,0.987,77.8,6.8,72.6,2025-05-17,Chennai
486,cauliflower,fresh,fresh,25.72,157.17,165.38,9.52,22.06,25.55,0.0,0.965,85.3,2.6,72.6,2025-05-27,Chennai
487,mushroom,spoiled,moderate,18.24,45.03,71.96,12.59,12.84,22.24,0.1294,0.731,64.5,5.9,88.4,2025-08-01,Delhi
488,chickpeas,moderate,fresh,23.05,88.4,132.29,10.5,24.65,25.64,0.0,0.324,77.7,5.4,64.5,2025-03-05,Pune
489,milk,moderate,fresh,24.47,27.88,213.04,5.09,5.33,17.87,0.0121,0.88,76.3,6.0,73.0,2025-07-27,Mumbai
490,peas,fresh,fresh,37.01,179.45,167.92,7.54,15.08,18.82,0.0186,0.768,95.7,6.9,66.4,2025-02-26,Mumbai
491,banana,fresh,fresh,33.99,203.0,226.4,3.62,15.97,6.56,0.005,0.918,91.6,3.6,71.2,2025-01-11,Chennai
492,milk,fresh,fresh,10.43,0.0,238.13,1.74,8.62,12.33,0.0165,0.142,89.6,4.3,80.9,2025-09-06,Mumbai
493,mango,fresh,fresh,33.73,180.42,161.02,11.49,22.8,19.29,0.0,0.989,94.6,2.7,76.6,2025-07-28,Hyderabad
494,zucchini,fresh,fresh,39.08,127.87,163.51,6.78,18.41,16.83,0.0055,0.38,87.0,4.8,91.6,2025-03-11,Pune
495,cream,fresh,fresh,39.78,144.82,187.05,6.86,14.54,20.81,0.0087,0.53,90.0,6.5,89.8,2025-04-05,Mumbai
496,yogurt,fresh,fresh,14.7,148.63,152.63,11.97,22.73,20.32,0.0,0.174,92.8,2.6,74.1,2025-10-04,Mumbai
497,avocado,fresh,fresh,40.11,133.07,190.87,8.4,20.79,23.82,0.0,0.739,91.5,4.8,80.7,2025-09-19,Delhi
498,walnut,spoiled,moderate,27.32,39.33,36.9,8.08,14.63,20.28,0.3105,0.231,42.2,6.4,89.8,2025-12-26,Bangalore
499,bread,fresh,fresh,20.96,198.23,210.33,9.2,20.22,19.36,0.0,0.229,88.3,2.2,87.8,2025-03-13,Delhi
500,apple,moderate,fresh,13.24,121.94,165.16,2.52,26.0,19.53,0.0,0.666,84.9,6.9,80.2,2025-08-07,Bangalore
501,tuna,fresh,fresh,14.74,132.79,171.73,11.78,21.67,15.99,0.0098,0.69,85.3,5.1,71.8,2025-03-09,Delhi
502,cheese,moderate,fresh,29.86,51.32,157.07,9.06,24.72,28.98,0.0,0.871,79.6,6.6,69.2,2025-06-14,Pune
503,banana,spoiled,moderate,5.99,19.04,68.33,9.08,10.44,11.5,0.1474,0.512,52.8,2.7,79.3,2025-05-05,Kolkata
504,onion,fresh,fresh,26.39,161.03,204.01,7.07,18.77,23.46,0.0194,0.175,89.5,7.2,77.7,2025-07-27,Hyderabad
505,cherry,fresh,fresh,15.04,142.23,183.81,8.9,18.47,20.1,0.011,0.279,90.7,6.5,78.4,2025-03-19,Kolkata
506,butter,fresh,fresh,10.09,136.84,189.07,6.04,20.18,21.34,0.0,0.307,92.7,7.7,78.6,2025-06-06,Chennai
507,oats,fresh,fresh,27.26,153.41,160.75,7.59,21.83,20.47,0.0047,0.859,88.8,6.5,65.3,2025-10-14,Kolkata
508,cherry,fresh,fresh,25.31,154.48,194.29,3.9,23.48,18.99,0.018,0.367,96.7,7.4,94.0,2025-08-15,Delhi
509,lemon,moderate,fresh,29.25,119.93,95.71,8.58,24.13,22.65,0.0045,0.738,74.6,6.0,67.3,2025-12-20,Hyderabad
510,watermelon,fresh,fresh,43.88,132.86,168.89,8.41,16.39,18.81,0.0,0.84,84.6,6.6,88.2,2025-04-13,Kolkata
511,peach,moderate,fresh,28.17,81.68,127.67,8.94,20.46,25.96,0.0,0.851,78.1,2.4,93.7,2025-05-05,Bangalore
512,pineapple,moderate,fresh,42.55,90.46,135.63,11.39,21.19,30.11,0.0069,0.285,82.3,2.9,69.6,2025-06-01,Pune
513,pineapple,fresh,fresh,31.62,182.64,165.34,11.64,22.33,21.66,0.0109,0.639,89.1,3.4,75.3,2025-02-18,Pune
514,tuna,fresh,fresh,31.87,145.03,204.01,8.28,14.1,16.65,0.0192,0.919,82.7,4.0,69.5,2025-01-13,Kolkata
515,carrot,fresh,fresh,11.44,194.65,199.15,5.44,9.15,15.43,0.0034,0.889,91.5,6.1,87.8,2025-05-08,Hyderabad
516,mango,fresh,fresh,15.46,165.19,178.11,8.84,17.41,23.84,0.0184,0.879,92.4,3.4,89.7,2025-08-27,Pune
517,mushroom,fresh,fresh,38.33,161.67,177.41,9.16,17.88,22.57,0.0146,0.352,90.6,6.3,69.7,2025-05-21,Hyderabad
518,bell_pepper,fresh,fresh,43.2,171.41,165.41,8.72,16.12,21.72,0.0193,0.175,93.4,2.6,88.2,2025-04-19,Bangalore
519,avocado,moderate,fresh,29.51,43.25,100.96,9.43,24.1,21.37,0.0,0.803,78.1,6.3,79.6,2025-10-13,Hyderabad
520,butter,spoiled,moderate,23.89,38.77,66.11,8.49,18.15,24.97,0.1511,0.197,61.6,7.0,82.5,2025-02-19,Chennai
521,pineapple,spoiled,moderate,15.16,25.82,79.82,9.28,14.58,22.22,0.1041,0.738,60.5,5.6,88.5,2025-12-24,Chennai
522,onion,moderate,fresh,5.91,122.96,131.82,9.18,24.73,24.89,0.0,0.877,81.6,2.2,74.0,2025-11-24,Kolkata
523,mushroom,moderate,fresh,7.69,127.37,131.03,10.89,27.85,21.94,0.0027,0.122,75.2,7.7,63.5,2025-07-26,Chennai
524,chickpeas,fresh,fresh,33.79,144.65,196.94,3.75,19.7,18.19,0.0,0.715,95.2,4.1,93.8,2025-05-15,Kolkata
525,grape,fresh,fresh,33.46,159.4,165.85,6.58,19.67,17.31,0.0054,0.792,90.6,3.0,79.5,2025-09-21,Delhi
526,almond,fresh,fresh,36.74,142.62,121.86,7.25,16.88,15.11,0.0126,0.86,80.5,7.1,71.7,2025-10-18,Pune
527,avocado,fresh,fresh,20.1,152.19,206.57,8.63,18.18,21.37,0.0166,0.181,87.0,4.4,81.8,2025-11-06,Kolkata
528,potato,fresh,fresh,26.33,136.11,156.91,4.5,18.83,20.47,0.0,0.403,91.0,4.6,72.7,2025-03-06,Delhi
529,banana,fresh,fresh,29.61,203.76,210.54,5.22,11.05,12.33,0.0164,0.73,94.8,5.4,86.5,2025-09-06,Bangalore
530,tuna,moderate,fresh,14.98,71.19,93.33,9.0,27.93,26.55,0.017,0.638,69.0,7.3,74.2,2025-05-05,Pune
531,bell_pepper,fresh,fresh,37.83,160.44,157.93,7.34,17.66,23.99,0.0169,0.193,85.2,7.7,88.5,2025-05-20,Hyderabad
532,orange,fresh,fresh,20.43,167.87,197.86,11.66,18.77,22.14,0.013,0.321,86.0,2.9,94.7,2025-01-16,Mumbai
533,tofu,spoiled,moderate,42.82,25.74,39.3,6.24,17.14,14.35,0.2925,0.683,41.2,3.3,60.4,2025-04-01,Kolkata
534,tuna,fresh,fresh,27.02,158.75,183.7,8.85,20.67,23.84,0.0023,0.999,87.8,3.2,66.5,2025-09-19,Bangalore
535,bread,moderate,fresh,15.48,73.08,110.68,11.66,27.7,26.35,0.0,0.335,84.4,6.8,72.7,2025-05-14,Delhi
536,garlic,spoiled,fresh,31.83,17.33,103.34,13.05,17.21,25.35,0.0,0.421,81.1,7.7,64.7,2025-12-08,Kolkata
537,cream,moderate,fresh,8.43,76.89,111.62,11.44,21.85,27.27,0.0167,0.987,71.8,6.3,78.7,2025-02-26,Kolkata
538,salmon,fresh,fresh,40.96,163.9,185.68,6.02,17.46,23.75,0.0081,0.979,86.8,6.9,67.8,2025-05-19,Kolkata
539,grape,fresh,fresh,36.23,149.22,171.64,3.95,16.79,25.73,0.0036,0.158,86.2,8.0,60.8,2025-08-18,Pune
540,grape,spoiled,fresh,7.2,37.84,90.15,7.49,15.55,22.81,0.0575,0.157,70.0,4.1,93.4,2025-05-19,Delhi
541,chickpeas,fresh,fresh,30.1,207.37,146.63,10.12,19.48,22.32,0.0,0.788,90.3,2.8,73.9,2025-11-15,Delhi
542,cream,moderate,fresh,29.41,71.67,135.72,6.28,26.81,25.89,0.0,0.819,76.7,5.0,74.2,2025-09-22,Hyderabad
543,cucumber,spoiled,fresh,26.39,50.87,77.35,10.3,12.36,17.86,0.0954,0.779,72.5,5.5,87.1,2025-02-20,Chennai
544,butter,fresh,fresh,39.49,178.73,175.24,8.09,17.29,23.52,0.0,0.982,83.8,6.6,94.6,2025-03-01,Pune
545,cheese,moderate,fresh,31.65,138.53,108.04,9.24,25.69,26.94,0.0,0.463,78.9,6.2,84.0,2025-07-13,Pune
546,milk,fresh,fresh,8.92,5.64,248.81,6.44,2.25,14.07,0.0,0.42,82.3,6.2,90.8,2025-08-03,Mumbai
547,carrot,fresh,fresh,15.51,192.01,201.19,4.11,12.41,15.09,0.0194,0.67,87.7,4.0,86.3,2025-09-09,Chennai
548,salmon,fresh,fresh,12.78,167.53,148.77,11.01,19.01,19.36,0.0073,0.186,87.4,2.0,94.5,2025-01-01,Delhi
549,potato,fresh,fresh,24.98,144.24,208.37,3.02,23.83,21.01,0.0027,0.437,94.6,2.4,66.0,2025-11-20,Bangalore
550,pear,fresh,fresh,20.34,128.49,213.53,6.11,16.54,23.41,0.0,0.715,96.9,2.9,73.1,2025-03-15,Pune
551,olive_oil,fresh,fresh,32.71,131.24,184.33,5.95,23.3,23.18,0.0128,0.127,81.6,2.2,78.8,2025-02-26,Delhi
552,spinach,fresh,fresh,34.26,157.23,215.22,8.0,16.45,21.35,0.0036,0.251,94.1,2.6,66.8,2025-03-20,Delhi
553,cauliflower,spoiled,moderate,40.86,19.78,62.77,10.83,14.84,17.05,0.1817,0.503,57.0,2.7,79.4,2025-06-08,Delhi
554,blueberry,fresh,fresh,38.97,196.4,183.92,6.19,15.35,20.77,0.0,0.464,96.1,4.1,92.1,2025-08-26,Kolkata
555,pasta,moderate,fresh,36.04,101.88,129.94,8.82,21.72,27.5,0.0,0.568,86.6,6.0,71.2,2025-09-19,Hyderabad
556,tofu,fresh,fresh,37.31,119.09,211.8,9.15,24.2,15.97,0.0019,0.281,86.9,3.9,75.7,2025-04-10,Pune
557,mushroom,fresh,fresh,19.07,147.02,190.06,11.59,22.12,19.27,0.0,0.542,86.6,3.9,76.9,2025-07-10,Bangalore
558,olive_oil,fresh,fresh,21.79,174.6,160.71,11.26,19.15,24.77,0.0,0.848,90.8,3.1,63.1,2025-10-24,Hyderabad
559,cream,fresh,fresh,35.43,147.26,169.61,7.32,21.28,20.23,0.0,0.125,84.0,7.8,73.5,2025-06-18,Chennai
560,oats,spoiled,moderate,14.06,32.52,71.57,5.74,16.37,17.06,0.1431,0.26,65.0,4.2,84.5,2025-04-04,Bangalore
561,pear,spoiled,moderate,8.47,9.69,34.12,7.29,12.87,25.86,0.3123,0.283,45.3,3.2,82.4,2025-01-02,Bangalore
562,kiwi,spoiled,moderate,14.74,37.67,78.01,10.26,14.77,16.41,0.1016,0.914,58.4,6.0,92.0,2025-06-06,Bangalore
563,avocado,fresh,fresh,41.61,186.14,146.35,5.95,19.16,17.11,0.0,0.228,92.8,3.5,83.4,2025-07-22,Hyderabad
564,lentils,spoiled,fresh,25.06,24.08,113.3,12.38,15.64,23.08,0.0,0.891,77.3,6.4,69.5,2025-12-01,Bangalore
565,peas,fresh,fresh,38.85,138.72,163.68,8.16,22.58,20.42,0.0,0.801,91.5,3.5,60.4,2025-12-13,Chennai
566,tofu,moderate,fresh,9.23,69.93,128.15,9.85,30.92,20.84,0.0076,0.163,73.2,2.7,65.6,2025-08-03,Mumbai
567,cream,fresh,fresh,34.04,179.78,225.43,7.19,21.47,21.71,0.0,0.713,100.0,7.6,73.9,2025-09-10,Delhi
568,chicken,fresh,fresh,31.56,148.02,188.72,2.94,22.05,20.38,0.0,0.897,92.7,3.2,63.0,2025-08-07,Mumbai
569,butter,spoiled,moderate,17.78,65.7,56.5,9.19,20.97,17.5,0.2019,0.306,55.4,7.0,66.5,2025-12-26,Chennai
570,tomato,fresh,fresh,1.9,197.79,192.61,2.42,11.12,13.4,0.0095,0.498,89.7,6.6,83.2,2025-09-25,Mumbai
571,olive_oil,fresh,fresh,25.14,148.46,188.52,8.84,14.67,23.19,0.0028,0.954,85.6,4.0,93.3,2025-03-12,Bangalore
572,cherry,spoiled,moderate,22.53,55.77,78.88,12.2,16.4,24.04,0.1008,0.952,58.9,5.0,67.9,2025-11-07,Delhi
573,pasta,moderate,fresh,30.22,87.55,186.81,11.78,26.72,21.17,0.0,0.859,77.2,5.6,70.1,2025-03-05,Hyderabad
574,cucumber,fresh,fresh,19.69,155.85,182.91,6.77,20.42,24.77,0.0,0.581,91.5,5.7,65.9,2025-06-12,Chennai
575,blueberry,spoiled,moderate,26.95,17.88,67.77,8.39,13.84,18.76,0.1414,0.103,61.4,2.4,73.6,2025-10-04,Kolkata
576,avocado,moderate,fresh,20.22,58.62,126.81,8.88,16.21,31.16,0.0018,0.118,71.0,6.9,76.7,2025-10-21,Bangalore
577,spinach,moderate,fresh,35.89,80.59,130.47,7.66,30.09,30.69,0.0164,0.314,78.2,4.9,68.8,2025-11-15,Bangalore
578,blueberry,fresh,fresh,31.25,170.47,183.51,5.33,18.76,20.4,0.0,0.358,95.5,6.4,93.7,2025-07-09,Mumbai
579,garlic,moderate,fresh,20.45,84.53,127.72,9.84,25.16,21.82,0.0,0.138,78.9,4.5,90.8,2025-04-13,Mumbai
580,bread,fresh,fresh,24.26,124.31,199.56,3.79,23.46,24.16,0.0,0.476,95.0,6.4,75.5,2025-07-15,Delhi
581,bell_pepper,fresh,fresh,27.58,97.94,172.77,7.87,16.97,18.45,0.0089,0.285,82.7,3.3,66.7,2025-04-28,Pune
582,pasta,moderate,fresh,40.3,106.62,106.89,6.8,24.02,24.36,0.0,0.876,77.5,6.8,73.1,2025-05-07,Bangalore
583,blueberry,fresh,fresh,33.97,139.29,190.23,11.87,22.45,19.86,0.0,0.914,88.8,7.7,90.5,2025-07-02,Mumbai
584,kiwi,fresh,fresh,28.53,142.87,203.61,6.75,20.14,20.15,0.0064,0.943,95.6,4.6,93.0,2025-01-23,Mumbai
585,potato,moderate,fresh,19.98,55.69,138.07,9.88,26.5,23.4,0.0193,0.713,73.9,6.6,82.4,2025-10-26,Kolkata
586,cherry,fresh,fresh,39.77,132.46,214.24,4.5,21.3,21.43,0.0,0.765,86.7,6.6,77.0,2025-10-25,Hyderabad
587,butter,moderate,fresh,17.04,100.61,161.99,5.57,26.51,17.52,0.007,0.808,89.6,2.5,60.3,2025-01-11,Kolkata
588,orange,fresh,fresh,22.27,182.58,168.36,5.65,19.41,26.2,0.0,0.236,95.4,3.3,89.4,2025-06-20,Delhi
589,beef,spoiled,fresh,1.68,19.23,99.95,13.72,14.69,16.28,0.0,0.258,73.1,3.8,88.1,2025-03-05,Mumbai
590,peas,fresh,fresh,46.77,181.89,193.58,6.38,19.85,19.52,0.0,0.605,97.4,5.8,84.5,2025-05-23,Kolkata
591,tomato,spoiled,fresh,13.99,61.77,77.59,3.85,19.13,20.94,0.0979,0.5,68.4,6.5,64.7,2025-07-16,Bangalore
592,milk,fresh,fresh,13.44,17.33,228.88,4.93,3.41,5.3,0.0075,0.836,76.3,7.6,80.5,2025-03-15,Chennai
593,cheese,spoiled,moderate,23.47,72.67,33.2,9.94,16.92,20.37,0.3494,0.989,46.2,7.3,62.4,2025-03-20,Delhi
594,oats,fresh,fresh,29.09,124.02,184.66,6.49,13.43,23.58,0.0197,0.812,81.2,6.0,93.7,2025-06-10,Pune
595,orange,fresh,fresh,37.67,151.03,184.58,10.15,20.67,22.71,0.0,0.66,96.1,5.5,94.7,2025-06-28,Delhi
596,cherry,fresh,fresh,27.62,176.24,186.42,8.39,16.19,20.86,0.0162,0.121,97.7,3.9,65.8,2025-11-08,Pune
597,lettuce,fresh,fresh,23.34,137.23,163.69,5.87,26.37,23.99,0.0,0.346,93.8,8.0,83.0,2025-11-03,Delhi
598,egg,fresh,fresh,45.36,125.54,181.43,5.41,17.91,17.25,0.0171,0.11,92.6,5.4,70.6,2025-04-16,Bangalore
599,potato,fresh,fresh,39.92,142.08,201.37,9.21,26.91,15.56,0.0079,0.402,91.9,6.8,89.9,2025-07-14,Pune
600,bell_pepper,fresh,fresh,40.07,172.93,160.53,10.01,21.01,19.32,0.0,0.274,85.3,3.7,62.9,2025-08-22,Chennai
601,pasta,spoiled,fresh,11.76,24.21,111.0,10.0,17.35,17.63,0.0158,0.121,80.9,2.8,86.7,2025-04-03,Mumbai
602,garlic,fresh,fresh,23.76,171.64,153.01,7.17,20.1,20.33,0.0,0.179,88.2,2.5,85.3,2025-12-26,Delhi
603,tuna,fresh,fresh,28.57,157.92,193.86,9.47,17.04,19.15,0.0186,0.972,90.8,5.8,71.6,2025-11-04,Hyderabad
604,pineapple,fresh,fresh,39.56,167.89,152.54,8.7,14.07,20.14,0.0167,0.934,81.1,3.1,85.1,2025-02-01,Bangalore
605,oats,fresh,fresh,45.18,131.04,163.31,9.53,15.37,18.1,0.0,0.388,78.3,5.2,76.7,2025-04-23,Bangalore
606,salmon,moderate,fresh,30.96,74.14,124.1,11.49,26.26,25.8,0.0093,0.633,78.6,7.2,75.5,2025-09-01,Chennai
607,pear,spoiled,moderate,16.61,40.55,67.53,10.92,13.51,19.45,0.1775,0.618,55.9,3.1,64.3,2025-02-07,Mumbai
608,cucumber,moderate,fresh,15.1,89.12,109.72,7.77,25.78,25.64,0.0,0.852,74.5,3.8,74.4,2025-11-10,Mumbai
609,mushroom,fresh,fresh,36.26,141.38,188.16,9.1,21.33,17.52,0.0,0.106,85.6,7.3,83.9,2025-05-25,Mumbai
610,watermelon,fresh,fresh,31.19,157.28,180.14,3.83,20.48,26.64,0.0161,0.154,88.3,6.5,75.1,2025-11-25,Pune
611,zucchini,fresh,fresh,27.12,135.44,187.47,8.62,23.58,16.23,0.0,0.629,91.6,7.5,72.7,2025-11-20,Pune
612,watermelon,moderate,fresh,32.31,104.76,126.45,10.68,28.09,27.62,0.0,0.422,84.7,6.9,73.0,2025-05-25,Bangalore
613,cucumber,fresh,fresh,20.86,166.4,178.71,8.15,20.22,19.55,0.0,0.253,92.7,6.1,74.3,2025-08-11,Kolkata
614,corn,fresh,fresh,39.53,148.33,157.61,7.21,20.54,23.69,0.0,0.228,92.5,6.5,74.7,2025-01-28,Mumbai
615,cucumber,fresh,fresh,34.82,132.99,229.7,8.53,23.83,19.54,0.0,0.429,96.8,4.6,88.6,2025-03-05,Hyderabad
616,pear,fresh,fresh,34.27,166.79,204.36,10.11,22.62,19.05,0.0,0.344,83.1,3.2,77.4,2025-03-10,Kolkata
617,egg,fresh,fresh,25.43,156.65,198.66,7.55,23.2,24.36,0.0043,0.549,84.8,4.6,89.8,2025-08-22,Chennai
618,onion,spoiled,moderate,10.84,22.45,67.19,10.62,13.43,24.06,0.157,0.529,51.5,3.7,68.2,2025-08-26,Mumbai
619,peas,fresh,fresh,33.39,150.79,151.28,5.37,20.84,13.6,0.0053,0.405,93.0,3.9,81.6,2025-10-04,Hyderabad
620,lemon,fresh,fresh,38.1,146.84,244.86,12.62,19.46,19.68,0.0,0.72,90.3,2.8,79.8,2025-08-03,Chennai
621,zucchini,fresh,fresh,37.96,184.06,147.24,4.43,18.13,21.75,0.0178,0.719,83.3,7.5,91.6,2025-11-16,Kolkata
622,broccoli,moderate,moderate,49.97,101.4,62.0,5.37,22.57,12.52,0.1832,0.275,61.9,2.8,71.3,2025-11-19,Mumbai
623,lentils,moderate,fresh,4.82,93.63,149.83,9.76,23.63,24.52,0.0128,0.54,78.1,4.8,60.7,2025-09-04,Bangalore
624,walnut,fresh,fresh,27.04,123.04,165.71,9.04,20.97,20.5,0.0012,0.516,82.4,7.4,93.2,2025-12-09,Chennai
625,zucchini,fresh,fresh,22.04,146.37,136.46,8.36,24.29,15.58,0.0108,0.741,79.4,4.2,87.2,2025-08-08,Mumbai
626,bread,fresh,fresh,25.31,156.58,205.06,7.1,17.92,14.09,0.0048,0.606,88.0,6.7,93.5,2025-08-11,Hyderabad
627,cream,fresh,fresh,30.83,190.84,185.55,7.96,20.97,19.97,0.0,0.931,95.8,5.6,70.3,2025-01-24,Mumbai
628,butter,moderate,fresh,16.87,110.58,135.64,10.04,22.07,28.91,0.0116,0.481,78.7,6.9,60.4,2025-05-07,Mumbai
629,spinach,fresh,fresh,35.32,138.94,200.04,7.0,17.65,17.72,0.0105,0.171,91.3,4.8,91.8,2025-03-15,Pune
630,potato,moderate,fresh,7.29,101.79,84.22,7.54,18.77,24.74,0.0892,0.197,72.8,3.6,69.7,2025-12-20,Bangalore
631,spinach,fresh,fresh,28.8,143.47,159.15,5.66,21.39,18.35,0.0182,0.212,80.0,7.2,79.3,2025-06-05,Delhi
632,chickpeas,fresh,fresh,32.53,132.3,183.62,10.61,21.76,18.76,0.0,0.391,79.6,3.1,81.5,2025-01-21,Delhi
633,cucumber,moderate,fresh,27.57,83.98,130.2,9.35,24.51,25.64,0.0153,0.15,81.2,6.3,64.6,2025-02-03,Mumbai
634,blueberry,fresh,fresh,22.05,129.68,152.23,4.8,16.35,20.48,0.0086,0.183,79.2,4.2,72.5,2025-02-14,Delhi
635,walnut,fresh,fresh,22.86,160.27,180.69,4.06,21.96,22.43,0.0,0.475,87.0,6.7,84.3,2025-09-27,Chennai
636,kiwi,fresh,fresh,22.05,158.4,162.87,8.2,16.21,14.62,0.0165,0.335,80.9,3.4,82.6,2025-09-01,Chennai
637,rice,moderate,fresh,21.17,86.91,120.06,7.63,23.8,25.81,0.0,0.297,75.1,3.4,65.3,2025-03-17,Delhi
638,cucumber,fresh,fresh,29.64,153.65,166.6,10.34,16.47,21.46,0.0,0.559,89.3,3.7,60.8,2025-12-23,Bangalore
639,egg,fresh,fresh,39.46,159.62,175.95,6.94,23.11,15.73,0.0,0.307,83.4,4.9,72.2,2025-02-19,Delhi
640,yogurt,spoiled,fresh,10.3,29.04,94.75,10.76,12.1,19.07,0.0147,0.583,66.7,7.5,86.0,2025-05-09,Hyderabad
641,garlic,fresh,fresh,25.09,135.8,199.58,5.26,24.83,22.48,0.0,0.647,83.2,4.0,71.4,2025-05-13,Chennai
642,rice,fresh,fresh,38.73,140.74,177.0,5.13,18.43,21.48,0.0041,0.686,79.6,5.1,74.2,2025-03-04,Chennai
643,potato,moderate,fresh,37.96,62.32,120.86,9.7,20.81,26.77,0.015,0.28,82.0,5.4,86.2,2025-12-22,Mumbai
644,beef,moderate,fresh,17.76,85.12,118.7,8.42,24.98,24.35,0.0,0.664,77.1,5.4,91.0,2025-05-07,Hyderabad
645,banana,fresh,fresh,28.51,199.07,223.2,7.31,15.42,12.99,0.0,0.401,89.7,5.0,85.2,2025-12-11,Bangalore
646,corn,moderate,fresh,11.1,93.94,102.57,7.05,22.78,28.58,0.0,0.605,73.2,3.7,94.5,2025-04-03,Hyderabad
647,mango,spoiled,moderate,29.5,38.65,39.35,9.61,15.91,20.53,0.308,0.871,51.7,7.7,92.6,2025-05-15,Bangalore
648,chickpeas,moderate,fresh,6.56,67.74,128.4,11.07,18.41,24.51,0.0,0.294,73.6,3.1,74.8,2025-06-03,Delhi
649,peas,moderate,fresh,26.43,111.24,147.32,11.17,22.6,19.28,0.0,0.208,79.9,2.9,76.0,2025-04-04,Pune
650,almond,spoiled,fresh,16.07,50.02,97.87,11.42,16.29,21.14,0.0259,0.939,79.5,3.0,63.9,2025-12-08,Bangalore
651,beef,moderate,fresh,19.44,86.75,171.73,8.11,29.84,24.03,0.0,0.607,79.9,2.4,84.2,2025-04-03,Bangalore
652,oats,fresh,fresh,40.6,121.86,191.72,6.53,15.75,20.66,0.0,0.519,79.8,3.1,60.5,2025-01-22,Chennai
653,olive_oil,spoiled,moderate,30.09,22.33,40.02,9.82,14.74,21.64,0.3087,0.282,48.8,3.6,83.5,2025-04-08,Pune
654,zucchini,moderate,fresh,34.5,88.51,176.39,10.45,23.96,20.17,0.0,0.607,92.0,7.1,79.6,2025-12-16,Kolkata
655,avocado,moderate,fresh,22.37,81.59,154.01,10.92,21.46,25.52,0.0,0.18,85.8,4.2,88.7,2025-09-06,Delhi
656,pasta,spoiled,fresh,26.72,57.92,87.75,11.52,15.18,21.16,0.0629,0.389,74.0,5.8,74.2,2025-10-13,Delhi
657,cauliflower,spoiled,moderate,32.5,15.01,63.01,8.45,16.14,23.69,0.1708,0.705,60.3,7.3,83.6,2025-07-12,Bangalore
658,orange,moderate,fresh,19.03,30.24,119.69,11.83,26.61,26.28,0.0,0.423,82.3,4.8,86.4,2025-11-06,Chennai
659,bell_pepper,fresh,fresh,27.76,124.42,190.31,6.33,26.55,21.71,0.005,0.639,93.0,5.2,89.1,2025-03-28,Kolkata
660,chicken,fresh,fresh,25.35,137.77,178.14,7.52,23.35,20.56,0.0,0.724,92.1,2.5,74.7,2025-02-17,Hyderabad
661,strawberry,fresh,fresh,0.54,238.36,160.99,3.54,13.18,21.09,0.0,0.595,92.9,7.7,85.9,2025-11-23,Kolkata
662,bell_pepper,fresh,fresh,32.49,112.21,220.31,10.58,18.81,16.69,0.0135,0.436,86.1,7.6,78.3,2025-07-08,Hyderabad
663,onion,moderate,fresh,28.48,92.17,138.89,10.38,26.52,29.34,0.0195,0.303,84.3,5.9,65.4,2025-12-25,Mumbai
664,lentils,fresh,fresh,34.54,129.01,207.25,11.28,29.46,16.63,0.0002,0.197,93.5,2.9,62.5,2025-05-08,Kolkata
665,corn,fresh,fresh,31.94,108.36,191.06,6.9,25.77,17.68,0.0055,0.956,81.7,3.1,60.6,2025-05-04,Mumbai
666,pear,moderate,fresh,8.11,78.22,80.61,11.5,18.8,25.09,0.0796,0.507,71.1,2.7,93.1,2025-11-13,Chennai
