food_name,category,serving_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vitamin_c_mg,iron_mg,calcium_mg,potassium_mg,glycemic_index,water_content_pct,source
carrot,Vegetable,200,54.54,1.16,13.22,0.2,2.77,3.09,70.4,20.2,1.92,204.8,503.4,60,58.2,USDA
yogurt,Dairy,100,100.98,17.26,5.79,0.72,0.0,1.54,56.0,26.0,1.18,198.6,573.7,48,22.1,IFCT
grape,Fruit,200,67.94,0.68,17.06,0.18,0.9,3.56,181.5,32.4,2.97,177.0,597.1,34,36.2,IFCT
oats,Grain,200,397.61,16.93,70.65,6.84,10.26,7.15,131.9,44.7,1.25,143.9,457.5,81,74.4,IFCT
oats,Grain,100,398.61,16.24,63.08,7.42,10.47,35.18,75.0,46.8,1.91,39.7,79.5,84,57.8,USDA
milk,Dairy,75,149.01,8.47,11.77,7.74,0.0,6.22,28.3,16.0,1.7,173.0,548.6,68,18.0,IFCT
olive_oil,Oil,50,882.24,0.0,0.0,102.15,0.0,0.36,152.5,13.5,3.08,149.4,470.0,21,16.8,NIN
bread,Grain,150,260.9,9.67,48.09,2.96,2.57,11.28,3.8,25.8,3.35,61.2,422.2,90,71.8,IFCT
tofu,Protein,100,73.72,7.49,1.9,4.65,0.28,0.53,189.7,36.5,2.13,159.6,288.5,27,36.2,NIN
onion,Vegetable,75,37.86,1.17,9.76,0.09,1.63,5.5,43.0,1.8,2.07,41.3,441.1,14,39.1,WHO
olive_oil,Oil,200,901.42,0.0,0.0,93.73,0.0,0.48,24.0,35.5,0.58,79.6,436.0,36,68.3,USDA
lettuce,Vegetable,150,15.39,1.44,2.79,0.2,1.22,1.53,21.9,57.5,0.56,38.6,108.4,35,60.4,WHO
butter,Dairy,75,700.7,0.89,0.09,81.62,0.0,0.2,96.7,18.8,0.15,31.3,110.7,83,65.9,IFCT
orange,Fruit,200,57.78,1.24,16.4,0.2,3.08,9.04,53.6,4.0,3.27,262.9,518.7,56,77.9,WHO
mushroom,Vegetable,50,20.57,3.23,3.06,0.32,1.03,0.75,72.1,35.0,2.53,264.2,101.1,53,21.6,NIN
corn,Vegetable,150,82.86,3.24,20.07,1.26,2.05,9.19,23.5,55.7,0.33,283.0,137.7,63,87.9,NIN
chicken,Protein,150,226.81,26.48,0.0,12.94,0.0,0.08,194.7,10.5,3.69,38.3,276.2,15,10.8,WHO
apple,Fruit,200,99.07,0.51,25.36,0.32,4.52,5.43,105.1,56.0,0.47,200.2,186.7,54,65.4,NIN
blueberry,Fruit,200,60.58,0.71,13.37,0.32,2.4,4.35,99.7,13.2,3.03,99.6,232.0,45,9.6,IFCT
egg,Protein,150,76.79,5.75,0.6,5.24,0.0,0.38,90.0,9.5,2.04,197.7,106.5,62,8.3,USDA
orange,Fruit,200,66.59,1.23,16.36,0.2,3.18,4.49,68.8,66.0,3.28,254.1,232.6,89,59.6,WHO
lentils,Legume,150,108.84,9.37,19.11,0.39,8.42,11.59,59.1,41.8,2.84,18.5,140.3,27,79.8,NIN
mango,Fruit,100,61.06,0.76,16.03,0.39,1.59,7.14,143.6,8.6,1.72,278.4,510.6,85,16.2,NIN
cauliflower,Vegetable,200,26.82,1.79,5.3,0.3,1.86,3.01,167.9,38.6,2.08,276.7,147.5,84,20.8,IFCT
mango,Fruit,150,61.51,0.81,14.57,0.42,1.58,5.68,138.8,19.9,1.65,106.1,211.8,27,17.6,WHO
tofu,Protein,200,80.39,8.27,2.03,4.9,0.29,0.9,58.8,27.6,2.72,294.5,407.5,32,50.9,WHO
lentils,Legume,50,120.84,9.09,20.26,0.43,8.27,8.25,178.9,42.7,3.52,129.6,57.0,23,7.3,IFCT
grape,Fruit,50,65.69,0.73,17.12,0.19,0.86,9.2,138.4,23.6,3.04,14.5,497.7,23,61.1,IFCT
almond,Nut,200,568.71,21.04,23.04,51.57,12.89,1.1,76.9,33.3,3.17,207.1,581.2,16,6.2,WHO
cherry,Fruit,200,52.95,1.06,12.09,0.29,1.63,5.34,74.2,47.1,2.98,63.0,448.7,34,31.8,IFCT
oats,Grain,50,369.52,16.11,66.15,6.86,10.48,22.26,26.9,46.7,1.09,102.5,440.3,29,8.6,WHO
salmon,Protein,50,217.11,20.4,0.0,12.59,0.0,0.22,15.5,56.6,2.15,287.3,336.3,74,19.5,NIN
orange,Fruit,100,59.23,1.14,14.99,0.2,2.96,7.08,106.6,79.7,3.31,294.4,54.8,54,45.6,IFCT
strawberry,Fruit,100,48.07,1.05,10.98,0.48,2.07,0.66,103.9,61.6,2.11,155.1,317.7,47,86.7,IFCT
cucumber,Vegetable,200,14.93,0.65,3.87,0.1,0.5,1.54,42.9,50.4,0.93,207.2,509.6,36,53.9,NIN
rice,Grain,50,214.14,4.06,44.71,0.39,0.56,1.94,159.0,44.6,2.34,72.2,192.3,59,46.1,NIN
mushroom,Vegetable,100,20.3,3.19,3.32,0.31,1.02,1.62,117.5,56.1,0.38,278.8,108.4,48,60.2,WHO
walnut,Nut,150,641.59,15.77,12.95,61.43,6.4,6.4,159.6,68.0,1.25,192.0,213.9,57,92.1,USDA
egg,Protein,200,73.52,5.56,0.61,4.92,0.0,0.49,42.8,59.3,2.93,67.5,548.1,75,18.0,IFCT
avocado,Fruit,200,168.57,1.9,8.54,15.72,7.39,4.67,186.5,79.5,1.9,167.2,209.9,18,27.8,IFCT
chickpeas,Legume,200,163.66,8.76,25.39,2.66,7.11,10.23,180.1,25.4,1.86,186.8,218.1,84,18.9,WHO
cucumber,Vegetable,150,15.15,0.68,3.76,0.1,0.51,0.96,72.5,54.4,1.39,146.6,294.9,49,49.3,USDA
pear,Fruit,200,53.19,0.39,15.99,0.11,2.95,6.82,125.7,58.2,3.58,255.6,397.4,84,57.7,IFCT
strawberry,Fruit,200,47.12,1.06,11.77,0.51,1.89,3.06,178.4,47.2,3.44,44.5,325.6,21,41.1,USDA
pasta,Grain,75,232.25,8.39,43.78,1.23,2.51,11.79,36.6,75.9,2.67,290.5,454.8,71,90.5,USDA
avocado,Fruit,150,153.13,1.92,8.62,15.4,7.02,4.38,78.2,73.4,3.54,16.8,406.7,23,69.0,WHO
almond,Nut,100,586.28,21.24,21.57,49.03,12.68,11.91,16.5,20.1,3.89,70.8,273.2,54,49.3,NIN
salmon,Protein,50,208.06,18.84,0.0,12.12,0.0,0.39,38.2,29.0,2.9,39.9,176.7,52,70.5,NIN
oats,Grain,150,387.69,17.25,67.56,6.9,10.17,5.5,118.9,10.8,2.1,267.8,130.8,31,28.5,IFCT
butter,Dairy,150,728.4,0.91,0.09,83.85,0.0,0.38,18.1,35.9,3.97,260.9,143.8,62,59.7,IFCT
tuna,Protein,200,127.03,29.0,0.0,0.99,0.0,0.39,77.7,8.7,0.89,258.6,327.4,63,80.2,USDA
pear,Fruit,150,60.66,0.41,16.12,0.1,3.23,1.3,132.2,72.2,2.2,5.4,565.8,65,52.5,WHO
strawberry,Fruit,200,48.44,1.07,11.67,0.52,1.95,5.75,181.7,67.0,2.35,130.5,190.0,39,87.8,USDA
spinach,Vegetable,200,24.39,2.86,3.42,0.41,2.3,1.46,24.4,0.6,2.65,207.9,223.7,56,14.7,NIN
rice,Grain,200,197.88,4.54,44.45,0.39,0.58,18.54,151.2,33.1,3.16,147.3,253.6,81,49.0,WHO
chicken,Protein,100,249.49,26.56,0.0,14.81,0.0,0.39,156.8,75.9,0.49,155.0,482.3,80,60.9,USDA
peach,Fruit,150,41.9,0.83,8.88,0.28,1.6,2.76,13.8,17.7,0.41,16.1,261.4,61,60.9,WHO
lentils,Legume,200,107.79,9.39,18.96,0.4,7.37,10.28,186.2,41.5,0.86,236.3,330.8,39,61.0,USDA
garlic,Vegetable,75,152.7,6.89,30.91,0.48,2.07,13.46,81.7,16.0,0.16,212.6,555.5,80,30.9,WHO
onion,Vegetable,100,38.25,1.18,9.23,0.1,1.57,1.39,101.7,44.7,2.06,105.3,114.4,75,92.1,WHO
tofu,Protein,150,81.67,8.08,1.98,5.0,0.32,0.79,92.7,46.9,0.21,39.3,87.2,38,66.6,IFCT
cucumber,Vegetable,150,17.17,0.7,3.32,0.11,0.48,0.65,135.1,65.7,0.4,279.8,312.1,55,24.9,WHO
pear,Fruit,75,56.99,0.38,15.77,0.11,2.95,2.25,50.7,49.5,0.71,36.5,556.1,73,60.9,USDA
milk,Dairy,100,151.88,7.99,12.93,8.51,0.0,3.79,196.9,73.3,1.19,70.5,367.2,16,52.8,NIN
milk,Dairy,200,137.86,7.8,12.69,8.35,0.0,1.31,104.1,25.3,0.13,203.9,258.7,22,34.6,WHO
pear,Fruit,200,54.84,0.39,16.32,0.1,2.94,4.15,84.4,60.2,1.52,123.2,297.9,83,16.9,IFCT
mango,Fruit,100,62.92,0.81,15.86,0.38,1.68,6.78,95.1,0.8,1.74,44.7,541.3,90,52.0,WHO
cheese,Dairy,100,385.98,26.43,1.21,30.88,0.0,0.56,51.6,67.1,0.48,224.7,192.9,56,56.0,WHO
onion,Vegetable,50,39.44,1.07,9.57,0.1,1.72,3.8,108.1,78.3,1.21,100.9,330.7,67,86.0,NIN
tuna,Protein,100,131.23,30.05,0.0,1.02,0.0,0.29,122.8,32.4,3.64,28.3,239.0,50,33.8,WHO
lentils,Legume,100,117.96,8.85,21.24,0.42,8.56,9.1,104.7,36.0,0.75,257.0,118.8,40,65.2,USDA
kiwi,Fruit,75,60.0,1.03,15.73,0.5,2.79,6.91,105.3,79.7,0.51,187.3,96.4,59,33.2,IFCT
almond,Nut,100,573.73,19.74,22.09,47.36,11.57,5.03,183.1,69.1,1.92,261.9,564.2,80,45.5,IFCT
beef,Protein,200,248.26,27.04,0.0,16.82,0.0,0.23,181.9,38.5,0.99,31.4,219.3,62,28.6,WHO
apple,Fruit,50,95.35,0.52,23.64,0.29,4.42,10.51,98.9,60.4,1.27,230.9,488.9,86,26.0,USDA
egg,Protein,100,74.11,6.37,0.59,4.8,0.0,0.41,165.9,17.6,0.41,189.5,334.1,88,78.5,WHO
spinach,Vegetable,200,24.14,2.86,3.8,0.38,2.13,1.56,123.9,21.8,2.53,60.4,60.7,16,93.2,USDA
pear,Fruit,50,55.01,0.38,15.05,0.09,2.9,0.63,44.2,33.6,3.16,152.0,254.3,14,35.1,IFCT
grape,Fruit,100,72.04,0.65,18.01,0.19,0.95,8.97,165.8,9.8,3.1,78.4,474.2,66,27.5,USDA
cherry,Fruit,150,51.88,0.94,12.52,0.29,1.57,7.06,187.3,12.7,2.94,224.7,352.3,25,28.1,WHO
cherry,Fruit,100,53.1,1.06,11.65,0.28,1.63,2.71,34.3,22.1,0.57,237.8,54.9,15,57.9,NIN
tofu,Protein,200,71.8,8.35,1.82,4.8,0.31,0.72,194.0,60.8,0.33,109.9,134.7,78,77.0,IFCT
cheese,Dairy,75,390.21,25.23,1.33,32.19,0.0,0.71,5.2,30.2,2.93,79.0,71.7,66,55.9,NIN
cherry,Fruit,200,47.49,0.98,12.65,0.29,1.68,6.74,111.3,5.5,0.7,92.2,194.8,56,46.3,NIN
chickpeas,Legume,75,174.05,9.17,26.41,2.65,7.38,1.49,193.5,65.5,0.84,206.6,471.2,29,60.8,WHO
peas,Vegetable,100,75.95,5.42,13.49,0.42,4.8,7.66,41.2,38.8,0.49,173.4,510.0,72,52.8,WHO
grape,Fruit,100,65.92,0.72,16.69,0.21,0.92,10.12,166.6,37.4,2.59,111.5,458.9,63,79.8,USDA
tuna,Protein,100,132.61,29.05,0.0,0.93,0.0,0.24,21.1,18.5,1.6,62.0,411.3,82,61.9,IFCT
egg,Protein,200,76.94,5.62,0.61,4.89,0.0,0.41,176.7,13.3,0.8,123.5,235.6,30,53.6,NIN
onion,Vegetable,100,40.32,1.19,9.81,0.1,1.74,4.7,65.4,19.3,2.23,115.6,352.6,42,37.8,NIN
zucchini,Vegetable,150,15.64,1.11,2.99,0.28,0.94,1.71,2.3,78.8,0.94,97.9,474.3,45,88.6,IFCT
mango,Fruit,50,59.62,0.76,14.44,0.42,1.54,2.68,60.8,45.6,2.32,69.1,92.5,51,77.2,IFCT
cheese,Dairy,200,422.55,23.38,1.33,30.56,0.0,0.61,156.2,73.7,1.4,264.5,288.9,25,84.2,IFCT
almond,Nut,200,618.71,21.45,22.47,46.43,12.55,4.56,113.4,26.1,2.82,50.2,420.5,60,93.4,USDA
avocado,Fruit,150,154.62,1.97,8.47,14.0,7.08,0.74,80.4,6.8,2.06,233.3,121.7,27,48.8,IFCT
cheese,Dairy,150,411.79,23.78,1.32,34.24,0.0,0.52,155.6,25.9,3.7,31.4,419.5,64,38.2,IFCT
cucumber,Vegetable,100,16.24,0.65,3.49,0.11,0.51,2.14,89.0,11.7,0.28,246.4,159.8,57,19.2,USDA
pineapple,Fruit,50,47.94,0.51,12.36,0.11,1.35,3.03,161.1,24.4,1.94,102.9,457.0,37,23.5,WHO
egg,Protein,150,79.54,6.47,0.62,5.13,0.0,0.37,105.8,20.4,0.33,64.2,433.1,44,9.8,USDA
watermelon,Fruit,150,30.77,0.62,8.1,0.2,0.37,1.69,176.8,30.9,3.92,155.0,440.3,50,49.1,USDA
pear,Fruit,75,57.01,0.4,16.24,0.09,2.97,5.06,67.4,31.5,0.71,107.3,243.6,90,32.5,WHO
grape,Fruit,100,73.18,0.74,19.01,0.18,0.91,3.4,31.2,71.8,2.66,30.9,260.2,88,84.4,IFCT
peas,Vegetable,75,81.94,5.34,14.06,0.41,5.06,1.58,130.8,46.5,2.77,64.7,126.0,77,87.8,NIN
olive_oil,Oil,75,906.1,0.0,0.0,93.09,0.0,0.14,37.6,67.2,0.67,13.7,225.3,62,92.5,WHO
zucchini,Vegetable,100,16.05,1.14,2.92,0.28,1.08,1.34,121.5,49.0,2.43,73.1,64.3,20,67.6,NIN
lemon,Fruit,200,30.61,1.09,9.52,0.28,2.75,2.91,33.6,18.1,1.69,290.8,559.0,62,25.3,IFCT
walnut,Nut,75,608.6,16.03,15.09,68.82,6.69,3.07,92.1,19.7,1.68,17.3,454.4,58,70.5,NIN
tuna,Protein,200,133.98,28.11,0.0,1.05,0.0,0.27,165.6,3.4,3.98,158.0,267.6,15,55.8,USDA
cherry,Fruit,100,49.52,1.06,12.73,0.29,1.51,2.51,183.9,55.2,3.62,141.8,405.4,21,70.8,USDA
pear,Fruit,200,60.99,0.41,14.31,0.1,3.08,2.04,118.5,57.0,0.89,139.1,187.5,30,70.4,USDA
orange,Fruit,50,64.05,1.23,14.38,0.21,3.21,9.02,122.8,12.8,2.25,18.0,144.0,52,56.5,IFCT
peach,Fruit,75,37.0,0.93,9.38,0.29,1.56,2.82,125.7,9.4,0.61,64.8,392.4,42,6.1,NIN
cheese,Dairy,200,421.78,25.43,1.3,31.51,0.0,0.63,88.9,48.1,0.13,265.2,203.0,90,55.7,IFCT
grape,Fruit,75,65.12,0.72,16.76,0.21,0.92,9.18,60.4,73.6,0.29,128.0,148.0,46,60.6,IFCT
cauliflower,Vegetable,200,24.44,1.76,5.53,0.29,2.13,2.7,151.9,67.5,0.35,143.9,117.1,45,35.0,NIN
butter,Dairy,75,739.47,0.92,0.09,83.98,0.0,0.07,97.2,55.1,3.74,296.0,208.0,87,82.1,WHO
butter,Dairy,200,773.79,0.88,0.09,81.81,0.0,0.22,99.0,14.4,2.48,214.0,588.6,10,15.8,NIN
bread,Grain,50,275.07,8.58,49.9,3.16,2.5,10.6,161.4,17.0,2.6,208.6,189.9,18,33.0,WHO
olive_oil,Oil,50,829.38,0.0,0.0,101.1,0.0,0.08,39.6,66.7,3.7,146.3,311.0,14,63.8,NIN
blueberry,Fruit,150,60.58,0.7,14.12,0.31,2.37,6.59,167.2,23.9,2.93,98.1,344.7,36,57.5,WHO
onion,Vegetable,50,43.01,1.06,8.6,0.11,1.73,4.78,114.6,31.2,2.42,260.1,463.3,50,69.6,WHO
peas,Vegetable,50,80.96,5.17,14.39,0.43,4.87,2.98,23.3,62.8,3.13,274.4,294.1,13,77.7,IFCT
cherry,Fruit,100,53.39,1.04,12.25,0.31,1.51,6.45,164.6,75.0,2.74,44.2,448.5,68,40.3,USDA
apple,Fruit,100,101.57,0.51,25.48,0.28,4.38,1.17,104.6,52.7,1.32,175.4,221.7,36,34.2,IFCT
spinach,Vegetable,100,23.12,3.03,3.7,0.39,2.08,0.69,191.7,44.8,0.5,165.0,352.2,44,17.9,WHO
chicken,Protein,75,226.43,26.19,0.0,14.09,0.0,0.49,180.8,4.0,1.6,30.4,265.6,86,86.1,NIN
tuna,Protein,100,128.04,29.42,0.0,1.03,0.0,0.01,151.4,37.3,0.61,244.8,555.8,69,13.9,WHO
oats,Grain,150,387.17,18.22,62.24,7.44,10.19,14.71,37.5,73.4,1.39,258.9,228.6,72,7.8,NIN
pineapple,Fruit,100,49.83,0.53,12.64,0.1,1.42,4.24,81.7,57.1,0.52,169.1,89.0,48,53.5,NIN
beef,Protein,150,239.54,24.93,0.0,16.95,0.0,0.4,139.1,34.5,3.92,172.3,238.2,40,20.8,USDA
almond,Nut,200,610.2,19.7,22.34,48.6,11.7,6.15,62.3,32.5,2.43,207.2,378.0,58,34.8,USDA
orange,Fruit,75,65.14,1.27,16.39,0.2,2.85,1.78,30.7,42.5,1.62,175.5,157.6,50,32.3,WHO
mushroom,Vegetable,100,23.73,3.14,3.36,0.3,1.06,1.76,13.4,72.1,3.87,5.2,358.0,55,15.0,WHO
banana,Fruit,75,103.85,1.32,27.54,0.41,3.05,7.33,43.0,13.9,0.64,168.8,513.8,56,81.4,IFCT
spinach,Vegetable,75,21.65,2.7,3.32,0.41,2.2,1.22,198.1,6.8,2.6,127.7,300.8,87,89.7,IFCT
cauliflower,Vegetable,200,24.7,2.0,5.2,0.29,1.98,0.52,100.1,58.5,2.88,84.4,559.6,83,38.4,USDA
chicken,Protein,150,246.83,25.33,0.0,14.43,0.0,0.13,196.7,78.7,3.14,142.2,93.0,88,13.0,NIN
bread,Grain,50,272.8,9.06,49.62,3.26,2.87,15.96,3.1,36.3,3.63,174.3,232.3,55,92.4,WHO
spinach,Vegetable,75,21.29,3.1,3.74,0.41,2.22,0.6,95.2,13.5,0.3,297.2,494.9,89,7.5,NIN
orange,Fruit,75,62.06,1.27,14.85,0.19,2.99,8.0,3.8,8.9,0.78,179.6,133.1,67,38.6,IFCT
carrot,Vegetable,75,51.87,1.26,13.01,0.19,2.61,1.5,186.9,12.3,2.03,298.1,473.7,40,65.1,IFCT
kiwi,Fruit,200,63.29,1.07,15.03,0.52,2.82,1.89,80.4,24.1,3.01,227.0,342.9,58,67.2,NIN
milk,Dairy,100,140.54,8.47,11.06,8.55,0.0,5.05,192.4,54.6,0.26,275.7,400.6,65,60.6,WHO
bell_pepper,Vegetable,100,29.84,0.94,6.15,0.29,2.19,2.82,147.1,47.1,0.86,104.5,429.7,33,33.5,USDA
oats,Grain,50,409.64,15.67,61.75,6.56,10.51,9.08,57.4,15.4,0.19,32.1,566.2,37,91.5,USDA
lentils,Legume,50,108.32,9.15,19.6,0.42,8.19,9.74,37.8,8.9,0.82,91.9,413.3,19,63.1,WHO
olive_oil,Oil,150,911.19,0.0,0.0,96.12,0.0,0.36,13.4,31.1,3.98,81.2,497.0,32,45.1,NIN
cherry,Fruit,200,49.14,1.02,11.44,0.3,1.58,4.69,22.1,35.3,1.11,15.3,88.7,42,75.7,USDA
cheese,Dairy,75,411.83,23.0,1.2,32.42,0.0,0.59,78.9,0.3,2.86,232.4,313.0,61,81.8,USDA
cream,Dairy,75,312.98,2.25,2.94,35.9,0.0,1.6,72.4,54.5,1.66,191.5,577.4,21,38.2,WHO
orange,Fruit,150,64.58,1.16,14.67,0.2,3.33,6.27,60.5,31.2,0.52,208.2,317.6,90,44.9,IFCT
lemon,Fruit,50,27.58,1.14,9.44,0.3,2.6,3.25,62.2,42.7,3.35,137.5,597.7,14,35.9,WHO
chickpeas,Legume,50,161.52,8.58,27.66,2.61,8.14,14.16,107.8,59.3,1.01,26.2,454.5,72,64.5,NIN
tuna,Protein,50,126.57,28.67,0.0,1.02,0.0,0.09,20.4,48.9,3.36,23.9,499.6,24,50.2,IFCT
watermelon,Fruit,75,29.65,0.63,8.19,0.21,0.39,4.46,115.6,11.0,3.36,239.0,470.3,85,20.8,USDA
pineapple,Fruit,100,47.13,0.49,13.51,0.1,1.39,7.31,9.1,8.0,3.4,185.7,477.7,12,85.0,USDA
apple,Fruit,50,90.13,0.47,25.71,0.32,4.34,12.26,154.7,55.4,0.9,193.7,337.7,62,26.8,IFCT
tuna,Protein,50,134.03,28.97,0.0,0.93,0.0,0.35,84.3,44.6,0.85,296.0,587.2,89,37.9,IFCT
cauliflower,Vegetable,75,24.11,1.81,5.55,0.31,2.15,1.77,36.1,53.6,0.27,195.2,206.8,65,27.9,NIN
strawberry,Fruit,50,50.88,1.07,11.09,0.52,2.0,1.26,179.1,57.7,2.41,101.2,159.3,51,25.9,USDA
cucumber,Vegetable,75,14.97,0.73,3.81,0.1,0.48,1.28,97.4,71.2,0.67,278.7,300.2,59,39.0,NIN
chickpeas,Legume,75,167.46,9.68,25.71,2.44,7.83,1.44,28.2,68.1,1.89,55.5,239.0,47,59.9,IFCT
chicken,Protein,200,252.58,25.21,0.0,13.98,0.0,0.2,167.6,22.3,2.95,222.2,185.7,51,44.5,IFCT
beef,Protein,75,266.55,27.66,0.0,15.76,0.0,0.13,101.3,34.1,1.64,243.9,433.2,22,46.2,IFCT
orange,Fruit,200,64.51,1.24,15.17,0.19,3.03,2.59,199.8,1.3,2.71,52.7,302.6,83,73.0,USDA
cauliflower,Vegetable,150,26.09,2.01,5.22,0.31,1.96,1.74,127.0,68.8,0.38,268.6,233.1,14,32.0,WHO
tofu,Protein,200,76.52,8.38,1.99,4.48,0.32,0.97,11.9,75.6,2.73,267.0,111.0,56,47.3,USDA
garlic,Vegetable,100,141.26,6.46,30.81,0.52,2.0,19.5,48.5,9.1,1.97,282.0,369.1,36,73.5,IFCT
cucumber,Vegetable,100,17.02,0.7,3.56,0.09,0.49,1.25,100.8,66.4,1.93,161.9,504.0,47,46.1,WHO
oats,Grain,50,369.6,18.04,61.64,6.88,10.06,37.97,16.3,13.2,0.54,48.6,132.8,36,52.4,USDA
spinach,Vegetable,150,24.73,2.92,3.39,0.39,2.18,1.57,59.0,5.0,3.5,73.5,571.1,52,42.5,WHO
rice,Grain,100,205.54,4.41,45.22,0.4,0.6,15.53,179.8,24.5,3.18,71.9,254.5,46,75.0,USDA
blueberry,Fruit,100,55.03,0.75,14.78,0.28,2.41,1.99,35.9,56.6,3.63,239.4,138.7,24,8.7,WHO
chicken,Protein,75,236.74,26.44,0.0,14.46,0.0,0.01,30.4,35.9,3.9,162.4,116.8,13,41.8,NIN
olive_oil,Oil,75,947.34,0.0,0.0,107.52,0.0,0.25,129.8,23.6,3.59,291.0,464.8,83,65.7,NIN
bell_pepper,Vegetable,50,32.15,1.06,5.65,0.3,2.04,1.75,168.3,35.7,0.46,21.2,402.7,84,52.9,WHO
cherry,Fruit,50,46.67,1.06,12.55,0.32,1.72,3.19,98.6,48.3,2.1,21.5,416.7,60,18.5,NIN
garlic,Vegetable,150,145.97,6.18,32.31,0.54,2.23,2.2,145.8,35.5,3.97,242.1,208.7,64,71.3,NIN
lemon,Fruit,200,29.45,1.04,9.01,0.32,2.81,2.2,186.7,47.3,1.57,7.0,401.3,44,42.7,NIN
lentils,Legume,200,120.74,8.48,19.0,0.39,8.07,0.99,165.4,66.8,1.29,170.0,304.9,13,77.0,IFCT
carrot,Vegetable,100,55.79,1.26,12.25,0.2,2.98,3.37,98.9,55.0,1.05,40.2,202.5,18,59.5,WHO
beef,Protein,150,252.62,27.53,0.0,16.93,0.0,0.44,103.0,46.0,3.4,53.0,82.2,50,47.0,IFCT
onion,Vegetable,75,37.14,1.08,9.5,0.11,1.58,1.98,128.2,6.1,0.86,190.3,470.6,86,73.5,WHO
cucumber,Vegetable,100,15.41,0.72,3.52,0.1,0.49,0.74,28.3,22.5,3.14,126.5,556.5,30,14.3,IFCT
yogurt,Dairy,75,105.31,17.8,6.06,0.72,0.0,3.12,142.8,56.2,3.23,128.1,553.8,24,79.5,USDA
milk,Dairy,100,144.51,7.82,12.61,8.5,0.0,5.62,69.1,56.8,0.21,245.3,172.3,28,67.6,WHO
lemon,Fruit,75,27.28,1.03,9.58,0.31,2.61,4.44,151.7,3.4,0.52,239.0,332.4,17,47.7,WHO
strawberry,Fruit,50,47.44,0.92,10.94,0.47,2.03,4.33,40.8,53.6,0.21,47.9,460.4,45,91.3,WHO
onion,Vegetable,75,42.27,1.15,9.47,0.1,1.58,4.66,152.9,42.3,2.89,289.5,144.5,78,5.4,USDA
kiwi,Fruit,200,64.43,1.1,15.17,0.47,3.08,1.39,167.1,78.5,1.75,156.7,274.2,50,16.2,USDA
butter,Dairy,75,716.52,0.88,0.1,83.88,0.0,0.28,77.6,36.6,2.97,207.7,512.6,38,55.4,WHO
mushroom,Vegetable,75,23.26,3.3,3.46,0.32,0.98,0.52,135.2,53.8,1.65,159.2,422.1,25,18.0,NIN
tofu,Protein,200,81.81,8.31,2.02,4.55,0.29,0.63,40.9,67.5,1.68,73.7,283.6,73,30.3,WHO
walnut,Nut,150,638.94,15.4,15.01,70.07,6.71,1.66,91.5,9.8,2.01,73.1,568.3,13,14.1,USDA
watermelon,Fruit,150,30.85,0.65,7.46,0.21,0.38,3.03,20.2,6.1,3.03,231.4,486.0,35,31.7,NIN
cheese,Dairy,200,386.67,24.37,1.37,33.25,0.0,0.51,86.7,73.2,1.6,97.8,257.0,68,8.3,IFCT
egg,Protein,100,82.8,5.68,0.59,4.85,0.0,0.39,114.2,39.2,2.26,164.1,308.4,81,82.7,USDA
corn,Vegetable,100,85.93,3.55,19.36,1.17,2.15,3.99,6.6,3.6,3.36,107.9,458.1,13,74.6,WHO
potato,Vegetable,50,76.11,2.16,17.25,0.09,2.11,2.85,63.1,6.8,2.78,261.3,113.0,31,6.8,WHO
strawberry,Fruit,150,50.24,0.99,11.73,0.49,1.85,3.56,5.4,25.3,2.32,100.1,103.7,72,14.1,IFCT
bell_pepper,Vegetable,150,31.01,1.04,5.85,0.31,2.05,1.85,99.9,67.8,3.17,252.9,344.7,46,29.1,WHO
chicken,Protein,150,250.65,27.54,0.0,14.49,0.0,0.2,55.4,45.3,2.17,131.0,241.0,19,64.3,WHO
yogurt,Dairy,100,98.93,17.11,5.71,0.69,0.0,1.91,152.9,14.4,0.17,212.5,524.5,83,50.4,NIN
broccoli,Vegetable,200,57.72,3.91,11.93,0.64,5.28,0.87,40.9,37.0,1.04,225.2,471.0,65,42.3,USDA
bread,Grain,75,279.67,8.66,47.33,3.03,2.78,7.32,48.5,12.0,0.21,240.1,220.8,72,55.9,NIN
mushroom,Vegetable,50,20.95,2.99,3.05,0.31,0.96,1.32,129.2,3.4,2.92,235.8,80.4,20,33.6,WHO
watermelon,Fruit,150,31.9,0.62,8.07,0.2,0.42,3.92,48.0,45.7,2.05,40.6,415.3,84,91.4,WHO
cheese,Dairy,50,385.15,23.49,1.36,32.1,0.0,0.61,149.9,18.9,1.75,47.6,146.3,45,45.0,WHO
beef,Protein,50,249.61,25.48,0.0,16.5,0.0,0.16,192.7,70.4,3.75,112.1,443.6,49,6.9,USDA
almond,Nut,50,596.66,21.97,21.08,50.42,12.12,12.67,73.2,65.0,0.58,260.8,521.7,59,5.7,NIN
carrot,Vegetable,100,48.59,1.26,11.78,0.19,2.97,6.8,126.6,70.4,3.09,124.9,68.6,20,79.9,NIN
milk,Dairy,150,159.17,7.79,11.85,8.54,0.0,1.57,52.9,5.3,1.74,220.1,351.3,51,46.2,USDA
walnut,Nut,50,668.79,14.24,13.87,66.47,6.17,2.08,61.8,46.1,0.53,78.6,442.5,26,82.1,NIN
